ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13196922,JG407863,9/2/2023 1:00,080XX S UNION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,621,6,6,71,08B,1173030,1851606,2023,9/14/2023 15:41,41.74823293,-87.64153328,"(41.748232929, -87.641533277)"
13197242,JG408409,9/2/2023 16:28,016XX N NEWCASTLE AVE,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE,TRUE,FALSE,2513,25,29,25,7,1130508,1910138,2023,9/14/2023 15:41,41.90968718,-87.79600963,"(41.909687183, -87.796009633)"
13197663,JG408814,9/2/2023 23:00,100XX S AVENUE M,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,TRUE,TRUE,432,4,10,52,04B,1201485,1838962,2023,9/14/2023 15:41,41.71286177,-87.53769489,"(41.71286177, -87.537694886)"
13197901,JG409181,9/1/2023 19:50,049XX W CONCORD PL,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,2533,25,37,25,26,1143047,1910513,2023,9/14/2023 15:41,41.91049144,-87.74993661,"(41.910491438, -87.749936608)"
13197965,JG409253,9/3/2023 3:00,071XX S SPAULDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,831,8,17,66,7,1155606,1857008,2023,9/14/2023 15:41,41.76342357,-87.70523658,"(41.763423571, -87.705236576)"
13198575,JG409922,9/3/2023 21:50,054XX N MILWAUKEE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1622,16,45,11,26,1136601,1936320,2023,9/14/2023 15:41,41.98142637,-87.77299737,"(41.98142637, -87.772997369)"
13199574,JG411101,9/4/2023 19:15,053XX S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,822,8,14,63,08B,1154617,1869058,2023,9/14/2023 15:41,41.79651034,-87.7085406,"(41.796510344, -87.708540596)"
13199642,JG411210,9/4/2023 21:47,035XX N CICERO AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1634,16,31,15,26,1143746,1923306,2023,9/14/2023 15:41,41.94558362,-87.74704737,"(41.945583621, -87.747047365)"
13199696,JG411222,9/4/2023 22:10,044XX N AUSTIN AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1622,16,38,15,26,1135547,1928943,2023,9/14/2023 15:41,41.96120206,-87.77704989,"(41.961202055, -87.777049892)"
13200550,JG412373,5/24/2023 12:00,059XX N MELVINA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,FALSE,TRUE,1622,16,45,10,7,1133926,1939049,2023,9/14/2023 15:41,41.98896259,-87.78277087,"(41.988962585, -87.782770866)"
13200685,JG412660,9/5/2023 19:18,019XX N CENTRAL AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,2515,25,29,25,26,1138744,1912269,2023,9/14/2023 15:41,41.91538933,-87.76570174,"(41.915389329, -87.765701742)"
13200930,JG412695,9/5/2023 19:22,021XX N AUSTIN AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,TRUE,TRUE,2515,25,36,19,04A,1136050,1913726,2023,9/14/2023 15:41,41.91943601,-87.77556459,"(41.91943601, -87.775564587)"
13201040,JG412889,9/5/2023 23:30,012XX N LAVERGNE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,2533,25,37,25,26,1142810,1907622,2023,9/14/2023 15:41,41.90256263,-87.75087938,"(41.902562633, -87.750879383)"
13201167,JG412911,9/5/2023 22:54,019XX W NORTH AVE,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,TRUE,FALSE,1424,14,1,24,26,1163086,1910663,2023,9/14/2023 15:41,41.91050544,-87.67631647,"(41.910505437, -87.676316472)"
13340870,JH118913,12/7/2023 1:00,050XX N BROADWAY,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,2033,20,47,3,5,1167398,1933847,2023,1/19/2024 15:40,41.97403168,-87.65980667,"(41.974031676, -87.659806667)"
13340773,JH118602,12/11/2023 14:15,011XX N MONITOR AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1511,15,29,25,11,1137147,1907077,2023,1/19/2024 15:40,41.90117071,-87.77169396,"(41.901170711, -87.771693958)"
13200739,JG412187,9/5/2023 14:51,033XX W DOUGLAS BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,TRUE,TRUE,1021,10,24,29,04B,1154115,1893253,2023,1/3/2025 15:40,41.8629145,-87.70973744,"(41.862914501, -87.709737438)"
13340598,JH118606,7/1/2023 9:00,033XX N NARRAGANSETT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1632,16,36,17,11,1133109,1921695,2023,1/19/2024 15:40,41.94135585,-87.78618357,"(41.941355854, -87.786183569)"
26262,JE366265,9/8/2021 16:45,047XX W HARRISON ST,110,HOMICIDE,FIRST DEGREE MURDER,CAR WASH,TRUE,FALSE,1131,11,24,25,01A,1144907,1896933,2021,9/14/2023 15:41,41.87319145,-87.74344656,"(41.873191445, -87.743446563)"
7823660,HS634379,11/19/2010 9:00,076XX S ABERDEEN ST,320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE,TRUE,FALSE,612,6,17,71,3,1170306,1854179,2010,9/14/2023 15:41,41.75535325,-87.65144019,"(41.755353249, -87.651440192)"
13691782,JH542240,12/14/2024 7:30,133XX S EDBROOKE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,533,5,9,54,14,1179751,1816789,2024,12/22/2024 15:41,41.65253937,-87.61796514,"(41.652539374, -87.617965144)"
13208615,JG421831,3/20/2023 21:00,046XX N KEDZIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1713,17,33,14,7,1154207,1930786,2023,9/14/2023 15:41,41.96590645,-87.70839577,"(41.965906449, -87.708395773)"
13208678,JG412891,9/1/2023 1:30,047XX S KEATING AVE,1513,PROSTITUTION,SOLICITING FOR BUSINESS,STREET,FALSE,FALSE,815,8,22,56,16,1145488,1872869,2023,9/14/2023 15:41,41.80714552,-87.74192176,"(41.807145524, -87.741921764)"
13208576,JG420847,7/7/2023 4:00,091XX S MARQUETTE AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,423,4,7,48,6,1195849,1844794,2023,9/14/2023 15:41,41.72900636,-87.55814297,"(41.729006364, -87.558142967)"
13208665,JG406843,9/1/2023 13:09,132XX S ST LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,533,5,10,54,08B,1182588,1817649,2023,9/14/2023 15:41,41.65483427,-87.60755843,"(41.654834273, -87.607558429)"
13208599,JG405706,8/30/2023 11:30,084XX S BURNHAM AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,423,4,7,46,08B,1196291,1849582,2023,9/14/2023 15:41,41.7421341,-87.55636551,"(41.742134096, -87.556365508)"
13208668,JG406226,9/1/2023 2:10,047XX W 47TH ST,1513,PROSTITUTION,SOLICITING FOR BUSINESS,STREET,FALSE,FALSE,815,8,22,56,16,1145695,1873053,2023,9/14/2023 15:41,41.80764654,-87.74115789,"(41.807646537, -87.741157889)"
13208672,JG421467,7/30/2023 9:00,078XX S SOUTH SHORE DR,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,421,4,7,46,11,1198248,1853536,2023,9/14/2023 15:41,41.75293545,-87.5490632,"(41.752935445, -87.5490632)"
13208609,JG421713,8/17/2023 18:00,041XX W BELMONT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,1731,17,30,16,7,1148281,1920957,2023,10/4/2023 15:41,41.93905144,-87.73043892,"(41.939051438, -87.730438917)"
13273157,JG499252,11/10/2023 10:50,060XX N BROADWAY,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2433,24,48,77,6,1167213,1940125,2023,11/18/2023 15:40,41.99126267,-87.66030556,"(41.991262667, -87.660305558)"
13272458,JG498532,11/10/2023 5:30,027XX N NEWLAND AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,2512,25,36,18,08B,1129621,1917357,2023,11/18/2023 15:40,41.92951224,-87.79910296,"(41.92951224, -87.799102956)"
13277018,JG503952,11/10/2023 3:00,064XX S ABERDEEN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,724,7,16,68,6,1170090,1862066,2023,11/18/2023 15:40,41.77700087,-87.65200282,"(41.777000866, -87.652002823)"
13272973,JG499289,11/10/2023 17:30,009XX N KEYSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1111,11,37,23,14,1149220,1905872,2023,11/18/2023 15:40,41.89763861,-87.72737955,"(41.897638613, -87.727379553)"
13273189,JG499439,11/10/2023 18:00,005XX N WALLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1512,15,29,25,14,1138238,1903169,2023,11/18/2023 15:40,41.890427,-87.76778118,"(41.890427004, -87.767781176)"
13541720,JH361759,7/24/2024 19:45,008XX S WELLS ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,123,1,34,32,7,1174838,1896647,2024,12/21/2024 15:40,41.87178962,-87.6335643,"(41.87178962, -87.633564301)"
13273520,JG499839,11/10/2023 21:00,092XX S BISHOP ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2222,22,21,73,7,1168287,1843507,2023,11/18/2023 15:40,41.72611144,-87.65914571,"(41.726111439, -87.659145706)"
13280402,JG507961,11/7/2023 17:30,057XX N SHERIDAN RD,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,2022,20,48,77,6,1168598,1938218,2023,11/19/2023 15:40,41.98599984,-87.65526673,"(41.985999837, -87.655266727)"
13281160,JG508937,10/29/2023 12:30,055XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1622,16,45,11,14,1136432,1936565,2023,11/20/2023 15:40,41.9821017,-87.77361302,"(41.982101703, -87.773613022)"
13206294,JG418967,9/6/2023 14:00,014XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1423,14,26,24,14,1158153,1909396,2023,9/14/2023 15:43,41.90713095,-87.69447314,"(41.907130946, -87.694473144)"
13201410,JG413245,9/6/2023 9:22,006XX W ROOT ST,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,STREET,FALSE,FALSE,925,9,11,61,14,1172547,1877380,2023,9/14/2023 15:43,41.81897033,-87.64254439,"(41.818970326, -87.642544391)"
13204765,JG412994,9/6/2023 2:10,081XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,613,6,17,71,08B,1171722,1850939,2023,9/14/2023 15:43,41.74643135,-87.64634573,"(41.746431352, -87.646345733)"
13202231,JG414162,9/6/2023 17:38,073XX S ARTESIAN AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,835,8,18,66,08B,1161314,1855911,2023,9/14/2023 15:43,41.76029697,-87.6843458,"(41.760296965, -87.684345797)"
13201655,JG413525,9/6/2023 12:58,004XX W 63RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,722,7,20,68,08B,1174231,1863149,2023,9/14/2023 15:43,41.77988171,-87.63678991,"(41.779881706, -87.636789913)"
13201514,JG413462,9/6/2023 5:16,021XX S CANALPORT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),FALSE,FALSE,1235,12,25,31,08A,1170364,1889785,2023,9/14/2023 15:43,41.85305866,-87.65019051,"(41.853058663, -87.650190508)"
13202650,JG414607,9/6/2023 21:30,027XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,133,1,4,35,6,1178499,1886506,2023,9/14/2023 15:43,41.84387939,-87.62043259,"(41.843879386, -87.620432585)"
13202208,JG414257,9/6/2023 20:50,017XX S WENTWORTH AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,PARK PROPERTY,FALSE,FALSE,914,9,11,33,5,1175333,1891876,2023,9/14/2023 15:43,41.85868659,-87.6318901,"(41.858686589, -87.631890095)"
13202179,JG413885,9/6/2023 16:41,030XX N CICERO AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,2521,25,31,19,7,1143852,1919599,2023,9/14/2023 15:43,41.93540928,-87.74675098,"(41.935409279, -87.74675098)"
13204504,JG416844,9/6/2023 12:00,031XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,1713,17,33,14,08A,1154413,1931719,2023,9/14/2023 15:43,41.96846253,-87.70761329,"(41.968462532, -87.707613294)"
13201944,JG414001,9/6/2023 17:30,046XX N LAKE SHORE DR NB,820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,1914,19,46,3,6,1170862,1930976,2023,9/14/2023 15:43,41.96607814,-87.64715324,"(41.96607814, -87.647153241)"
13202908,JG414182,9/6/2023 19:54,087XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,412,4,8,48,6,1188437,1847378,2023,9/14/2023 15:43,41.73627709,-87.58521219,"(41.736277091, -87.585212192)"
13202572,JG414628,9/6/2023 17:30,0000X W 72ND ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,731,7,6,69,7,1176987,1857260,2023,9/14/2023 15:43,41.76365995,-87.62686344,"(41.763659945, -87.626863438)"
13201900,JG413921,9/6/2023 17:05,057XX W ERIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1511,15,29,25,14,1137965,1903720,2023,9/14/2023 15:43,41.89194395,-87.76877046,"(41.891943951, -87.768770463)"
13193781,JG397432,6/18/2015 0:00,031XX S KOSTNER AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,1031,10,22,30,17,,,2015,9/14/2023 15:43,,,
13201486,JG413291,9/6/2023 9:32,080XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,631,6,6,44,08A,1182952,1851886,2023,9/14/2023 15:43,41.74877662,-87.60516736,"(41.748776618, -87.605167356)"
13202670,JG413315,9/6/2023 8:15,068XX S NORMAL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,TRUE,722,7,6,68,14,1174130,1859520,2023,9/14/2023 15:43,41.76992556,-87.63726788,"(41.769925563, -87.637267875)"
13202216,JG414059,9/6/2023 18:20,018XX N LUNA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,2532,25,37,25,14,1139111,1911573,2023,9/14/2023 15:43,41.91347275,-87.76437036,"(41.913472752, -87.764370362)"
13202307,JG414346,9/6/2023 23:11,046XX S HALSTED ST,610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,FALSE,FALSE,925,9,15,61,5,1171750,1874033,2023,9/14/2023 15:43,41.80980337,-87.64556634,"(41.809803372, -87.64556634)"
13201743,JG413690,9/6/2023 6:45,015XX W VICTORIA ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,2013,20,48,77,6,1165036,1938612,2023,9/14/2023 15:43,41.98715762,-87.66835632,"(41.98715762, -87.668356321)"
13202922,JG414619,9/6/2023 18:00,014XX E 49TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,4,39,14,1186638,1872793,2023,9/14/2023 15:43,41.8060608,-87.59099935,"(41.806060798, -87.590999348)"
13208213,JG421282,7/24/2023 9:00,017XX W CHASE AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,2423,24,49,1,10,1163649,1948306,2023,10/8/2023 15:41,42.01378764,-87.67318283,"(42.013787643, -87.673182834)"
13201577,JG413446,9/6/2023 3:30,022XX N TRIPP AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,TRUE,TRUE,2522,25,35,20,20,1147683,1914546,2023,10/18/2023 15:41,41.92147059,-87.73280178,"(41.921470593, -87.732801776)"
13203202,JG415063,9/6/2023 19:00,065XX N OCONTO AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,TRUE,TRUE,1611,16,41,9,26,1127047,1943137,2023,10/18/2023 15:41,42.00029901,-87.80798102,"(42.000299008, -87.807981016)"
13201867,JG413796,9/6/2023 15:10,069XX S VERNON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,FALSE,TRUE,322,3,6,69,04A,1180444,1859195,2023,9/14/2023 15:43,41.76889118,-87.61413359,"(41.768891175, -87.614133593)"
13202013,JG413657,9/6/2023 10:30,051XX W HARRISON ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,TRUE,1533,15,29,25,08A,1142125,1896831,2023,9/14/2023 15:43,41.87296355,-87.7536633,"(41.872963554, -87.753663295)"
13202132,JG414140,9/6/2023 19:05,0000X S KARLOV AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,TRUE,FALSE,1115,11,28,26,18,1149065,1899594,2023,9/14/2023 15:43,41.88041411,-87.72811149,"(41.880414105, -87.72811149)"
13201119,JG412964,9/6/2023 0:32,106XX S YATES AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,FALSE,TRUE,434,4,10,51,26,1194343,1834949,2023,9/14/2023 15:43,41.70202782,-87.56398196,"(41.702027818, -87.563981957)"
